on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
2507,"ʻO Mahoemua ke kāne, Leleipele ka wahine, hānau ke keiki, he ʻōpulepule.","Mahoemua is the husband, Lele-i-pele (Leap-into-voIcano) the wife; a child born to them is reckless and irresponsible.",Said of a child born in the month of Mahoemua.,haw-l.htm#lele,ON-conc-l-full.htm
2508,"ʻŌmaka ka iʻa, hōʻā aku ka lamalama i ka moana.","If the fish is the ʻōmaka, light the torches at sea.",The ʻōmaka is not a fighting fish and is easy to catch. Therefore one need not be prepared too soon and can afford to take time.,haw-h.htm#hoa,ON-conc-h-full.htm
2509,"ʻO Makaliʻi ke kāne, ʻo Hiʻipoi ka wahine, hānau ke keiki he maikaʻi.","Makaliʻi is the husband, Hiʻipoi (Cherished-one) the wife; a child born to them is well behaved.",Said of a child born in the month of Makaliʻi.,haw-h.htm#hiikua,ON-conc-h-full.htm
2510,ʻO Māuli kēia o ka lā pau.,"This is Māuli, the last day [of the lunar month].",Said when a task is near completion.,haw-m.htm#mauli,ON-conc-m-full.htm
2511,"ʻO Muku ka lā, mumuku nā hana.",Muku is the day; incomplete are the tasks.,A warning not to begin a project on the day of Muku lest it be unsuccessful.,haw-m.htm#muku,ON-conc-m-full.htm
2512,ʻO nā hihia wale ʻana i Moeawakea.,All the entangling shrubbery at Moeawakea.,Said of entangling affairs. There is a play on Moe-awakea (Sleep-till-the-sun-is-high).,haw-h.htm#hihia,ON-conc-h-full.htm
2513,ʻO nā hōkū nō nā kiu o ka lani.,The stars are the spies of heaven.,The stars look down on everyone and everything.,haw-h.htm#hoku,ON-conc-h-full.htm
2514,"ʻO nā hōkū o ka lani kai ʻike iā Pae. Aia a loaʻa ka pūnana o ke kōlea, loaʻa ʻo ia iā ʻoe.","Only the stars of heaven know where Pae is. When you find a plover’s nest, then you will find him.","Said of something so well hidden that it will not be found. Pae was a priest in the reign of ʻUmi. He was so lucky in fishing that the chief desired his bones for fishhooks after his death. When Pae died, his sons hid his bones so well that none of the chiefs and priests could find them. The sons would say, “When you find the nest of the plover, then will you find him.” But ʻUmi enlisted the help of a noted priest of Kauaʻi, who saw the ghost of Pae drinking from a spring in Waimanu Valley. Thus were the bones of Pae found and made into fishhooks for the chief. The sons of Pae were reminded that the chief was using their father’s bones for hooks by his constant cry, “O Pae, hold fast to our fish!”",haw-h.htm#hoku,ON-conc-h-full.htm
2515,"ʻO nā hōkū o ka lani luna, ʻo Paʻaiea ko lalo.","The stars are above, Paʻaiea helow.","Refers to Kamehameha’s great fish-pond, Paʻaiea, in Kona, Hawaiʻi. Its great size led to this saying — the small islets that dotted its interior were compared to the stars that dot the sky. The pond was destroyed during a volcanic eruption.",haw-h.htm#hoku,ON-conc-h-full.htm
2516,ʻO Nana ka malama; momona ka pāpaʻi.,Nana is the month; the crabs are fat.,"The sea urchin, a favorite food of the parrotfish, is fat during the season when the pandanus fruit is ripe. Feeding on fat sea urchin, the fish, too, hecome fat.",haw-m.htm#momona,ON-conc-m-full.htm
2517,"ʻO Nana ke kāne, ʻo Nanailewa ka wahine, hānau ke keiki, he keiki ʻaeʻa.","Nana is the hushand, Nana-i-lewa (Active-in-movement) the wife; a child born to them has wanderlust.",Said of a child born in the month of Nana.,haw-a.htm#aea,ON-conc-a-full.htm
2518,ʻO nā ʻunihipili o Keaweʻolouha ua haʻalele i ka haka.,The deified relatives of Keaweʻolouha have deserted the person they possessed.,"A play on Keawe-ʻolo-uha (Keawe-with-the-sagging-colon), a term applied to one who is too lazy to work. Those who depended on him soon deserted.",haw-h.htm#haka,ON-conc-h-full.htm
2519,"ʻOnea Kaupō, ua kā ka ʻai i ka lua.",Barren is Kaupō; the eating in the cavern has begun.,"Fatal shark attacks were common at Kaupō at one time. As a result, the people moved elsewhere, after which a man-eating shark peered at Kaupō and said these words. The spot from which he watched was named Kiʻei (Peer). Later used to mean destitution.",haw-k.htm#kaupe,ON-conc-k-full.htm
2520,ʻOni kalalea ke kū a ka lāʻau loa.,A tall tree stands above the others.,Said of a person of outstanding achievements.,haw-k.htm#kalalea,ON-conc-k-full.htm
2521,ʻOnipaʻa.,Stand firm.,Motto of Liliʻuokalani.,haw-o.htm#onipaa,ON-conc-o-full.htm
2522,ʻŌnohi ʻula i ka lani.,A red eyeball in the sky.,A fragment of rainbow.,haw-o.htm#onohi,ON-conc-o-full.htm
2523,ʻOno kahi ʻao luʻau me ke aloha pū.,A little taro green is delicious when love is present.,Even the plainest fare is delicious when there is love.,haw-a.htm#ao,ON-conc-a-full.htm
2524,"ʻO ʻoe, a ʻo wau, nalo ia mea.",You and me; it is hidden.,Let the secret be with us alone.,haw-w.htm#wau,ON-conc-w-full.htm
2525,"ʻO ʻoe hoʻi kahi i Hāʻupu kēlā, ua kupu a kiʻekiʻe i luna.","You, too, were on the tall hill of Haʻupu going all the way up to the very top.",Said sarcastically to a person who boasts of his greatness.,haw-h.htm#haupeepee,ON-conc-h-full.htm
2526,ʻO ʻoe kaʻu!,Youre mine!,"Said in anger to mean, “You’re going to get it!”",haw-k.htm#kau,ON-conc-k-full.htm
2527,ʻO ʻOlepau ka mahina; ʻo palaweka ka mahina; ʻo hina wale ka mahina; ʻo hāhā pōʻele ka mahina.,ʻOlepau is the moon phase; hazy is the light of the moon; quickly goes the light of the moon; one gropes in the dark.,"Said of one who is vague or hazy in explaining his thoughts, or of one whose knowledge is vague.",haw-h.htm#haha,ON-conc-h-full.htm
2528,ʻO ʻole wale mā.,Just nothing and his company.,A comment about another’s idea — it is nothing and still more nothing.,haw-m.htm#ma,ON-conc-m-full.htm
2529,ʻOʻopu peke o Hanakāpīʻai.,The stunted ʻoʻopu fish of Hanakāpīʻai.,"Famed in the legends of Kauaʻi are the ʻoʻopu of Hanakāpīʻai, which are said to be plump and shorter in length than those elsewhere. Sometimes applied humorously to a short, plump person.",haw-h.htm#hanai,ON-conc-h-full.htm
2530,"ʻO Paiahaʻa ka ʻāina, ʻo Kuaʻana ka nalu.","Paiahaʻa was the land, Kuaʻana the surf.","Paiahaʻa was a beach near Kaumaea, Kaʻū, Hawai’i. Here the dust that clung to the skin at Kaumaea was washed off by the surf of Kuaʻana. The inner surf, Kaina (Little Brother), was the place for children to surf, and the outer surf, Kuaʻana (Big Brother), was for grown-ups.",haw-k.htm#kuaaina,ON-conc-k-full.htm
2531,ʻOpa nā kuku o Waimea.,Weary are the sticks that hold the nets at Waimea.,Weary are the legs after walking far. A line from an old chant.,haw-k.htm#kuku,ON-conc-k-full.htm
2532,ʻŌpelu haʻalili i ke kai.,ʻOpelu that make the sea ripple.,"Said of active, quick-moving people.",haw-h.htm#haalili,ON-conc-h-full.htm
2533,ʻOpeʻope Kohala i ka makani.,Kohala is buffeted by the wind.,Pele was said to be fond of swimming and surfing. While doing so she would pause to eat seafood.,haw-o.htm#opeope,ON-conc-o-full.htm
2534,ʻOpihi kauwawe lehua o Hōpoe.,ʻOpihi covered by the lehua blossoms of Hōpoe.,"The fringes of lehua at Hōpoe fall into the sea, and are washed up over the rocks, hiding the ʻopihi.",haw-h.htm#hopo,ON-conc-h-full.htm
2535,"ʻO Poʻo ke koʻa, ka ipu kai aloha a nā aliʻi.","Poo is the fishing ground, beloved meat dish of chiefis.","Said of Poʻo, a favorite fishing place of the chiefs of Oʻahu, located near Mokumanu. Nuʻuanu Pali is the landmark by which it was located.",haw-k.htm#koa,ON-conc-k-full.htm
2536,ʻŌpule moe one.,ʻŌpule fish that lies on the sand.,A shy person who prefers to make himself unobtrusive.,haw-o.htm#opule,ON-conc-o-full.htm
2537,ʻŌpū palaʻai.,Pumpkin stomach.,"Said in ridicule of one with a large, protruding abdomen.",haw-p.htm#palaai,ON-conc-p-full.htm
2538,ʻŌpū palula.,Stomach full of sweet-potato greens.,Said of an ignorant person who can only grow sweet potatoes.,haw-p.htm#palula,ON-conc-p-full.htm
2539,Ōpū ʻukuʻuku.,Small clump.,A group of insignificant persons.,haw-o.htm#opu,ON-conc-o-full.htm
2540,"ʻO uakeʻe nei i loko o Haʻaloʻu, ʻo ka pō nahunahu ihu.","The little bend in Haʻaloʻu (Bend-over), on the night that the nose is bitten.",This was said of Kahalaiʻa when he became angry with Kaʻahumanu. He was only a “little bend” whose wrath was no more important then a nip on the nose.,haw-h.htm#haalili,ON-conc-h-full.htm
2541,"ʻO Ulumaheihei wale nō, iā ia ʻo loko, iā ia ʻo waho.",Ulumaheihei knows everything inside and out.,"ʻOne who knows everything. Ulumaheihei was a very close friend of Kamehameha, who renamed him Hoapili. He was the king’s most trusted friend and knew every affair of the kingdom. It was to him that Kamehameha entrusted his bones after death.",haw-u.htm#ululu,ON-conc-u-full.htm
2542,ʻŌʻu ō loa nā manu o Kaupeʻa.,The birds of Kaupeʻa trill and warble.,Said of the chatter of happy people.,haw-k.htm#kaupe,ON-conc-k-full.htm
2543,ʻOā!,"A signal word used by Kukuaokalalau, a celebrated warrior of Kauaʻi who fought under Kalanialiloa, a chief of Kauaʻi. It means, “Here they come!”",You shall find out how wrong you are. A play on kuhihewa (erroneous).,haw-o.htm#oa,ON-conc-o-full.htm
2544,"ʻO wahie ka ʻai, ʻo loli ka iʻa, ʻo muku ka imu.","Wood is the vegetable food, sea cucumber is the meat, and a small imu is the only imu.",Said of scarcity from oppression.,haw-l.htm#loli,ON-conc-l-full.htm
2545,ʻO wai ka ʻoukou aliʻi i hānai ai?,What chief did you rear?,"Those who had a part in the rearing of a young chief were proud of their position. Only kinsmen were given such places, but convention forbade discussing the relationship. When this is said in scorn it is the equivalent of “Who are you?”",haw-o.htm#oukou,ON-conc-o-full.htm
2546,O Waiōhinu aku ia kahi o ka maiʻa pala.,"That is Waiōhinu, where ripe bananas are.","A Kaʻū saying meaning that one is in for bad luck. To see bananas while on a fishing or business trip was an omen of failure. From the story of twin brothers who were climbing a hill. The stronger brother climbed on while the weaker one sat and cried. The older looked down and said “Cry, baby, cry! Go to Waiōhinu to eat ripe bananas.”",haw-w.htm#waimaka,ON-conc-w-full.htm
2547,"ʻO Waipiʻo me Waimanu, no ʻoawa mahoe i ke alo o ka makani.","Waipiʻo and Waimanu, the twin valleys that face the wind.",These two are neighboring valleys on Hawaiʻi.,haw-m.htm#mahoe,ON-conc-m-full.htm
2548,ʻO Wananalua ia ʻāina; ʻo Punahoa ka wai; ʻo Kaʻuiki ka puʻu.,Wananalua is the land; Punahoa is the pool; Kaʻuiki is the hill.,Noted places in Hāna.,haw-k.htm#kauhale,ON-conc-k-full.htm
2549,"ʻO Welehu ka malama, lehu nui ke poʻo i ka uahi o ka hoʻoilo.",Welehu is the month; sooty is the head in the smoke of winter.,"Said of Welehu, the most rainy of all the wet months, when the fireplace is kept going to give warmth to the house.",haw-l.htm#lehu,ON-conc-l-full.htm
2550,"ʻO Welehu ke kāne, ʻo Huhune ka wahine, hānau ke keiki, he luluāʻina.","Welehu is the husband, Huhune (Tiny-specks) the wife; a child born to them is freckled.",Said of a child born in the month of Welehu.,haw-h.htm#huhuki,ON-conc-h-full.htm
2551,"ʻO Welo ke kāne, ʻo Mikikole ka wahine, hānau ke keiki, he keiki mākilo.","Welo is the hushand, Mikikole (Reach-before-the-meat-is-done) the wife; a child bom to them is a beggar.","Said of a child born in the month of Welo. Such a beggar does not ask for things, but the longing look in his eyes is a reason for invitation.",haw-m.htm#makilo,ON-conc-m-full.htm
2552,ʻOē sananā.,Make merry.,An old sailors’ drinking expression.,haw-o.htm#oe,ON-conc-o-full.htm
2553,"Paʻa aku i ka lani o kā ke akua ia, a hāʻule mai i lalo o kā Laiana ia.","What is held up in heaven is Godʻs, and what falls below is Lyonsʻs.",A reply made by the Reverend Lorenzo Lyons (Makua Laiana) when he was charged with being careless in accepting people as members of his church. He loved and accepted them and did not adhere rigidly to certain rules before allowing them to become members.,haw-l.htm#lai,ON-conc-l-full.htm
2554,Paʻa ʻia iho i ka hoe uli i ʻole e īkā i ke koʻa.,Hold the steering paddle steady to keep from striking the rock.,Hold on; donʻt let yourself get into trouble.,haw-i.htm#ika,ON-conc-i-full.htm
2555,Paʻa i ke aupuni a Limaloa.,Held fast by the kingdom of Limaloa.,A play on Lima-loa (Long-hand). The Big-grabber has it all now.,haw-a.htm#aupuni,ON-conc-a-full.htm
2556,Paʻa i ke kānāwai kāmakaʻaha.,Held by the law of the sennit girdle.,"Taken an oath to remain chaste. Luʻukia, wife of the high chief Olopana, designed and made a girdle of sennit to prevent her lover and brother-in-law from approaching her.",haw-k.htm#kamakaaha,ON-conc-k-full.htm
2557,Paʻa kahi hope i ka malo.,The rear is covered with a malo.,"Said of a boy about five or six years old. Prior to this age, a boy ate with the women in their eating house and wore no clothing, but when he was old enough to join the men in theirs, he wore a malo, just as they did.",haw-m.htm#malo,ON-conc-m-full.htm
2558,Paʻa ka moku i ka helēuma.,The ship is held fast by the anchor.,Said of one who is married.,haw-h.htm#heleuma,ON-conc-h-full.htm
2559,"Paʻa ka waha, hana ka lima.",Shut the mouth; keep the hands busy.,Never mind the talking; start working.,,ON/ON-conc-hana.htm
2560,Paʻakikī kanaka o Kauaʻi.,Tough are the men of Kauaʻi.,"Oʻahu was once inhabited by supernatural beings who ate people. They would extend their hospitality by day, but at night they would eat their sleeping guests. A canoe came from Kauaʻi one day, and among the passengers was a man who was distrustful of the Oahuans. When the other men went to sleep, he dug a hole under the wall, crept into it, pulled a mat over himself, and waited. Late at night he listened as the hosts came and ate his companions. After the evil beings were gone, he hurried to the canoe and sailed home. He told his friends, and together they made wooden images, hid them in the canoe, and sailed for Oʻahu, where they were welcomed. That night the images were put inside the house, while the men hid outside. When the hosts came around to eat the visitors, they bit into the hard wooden images. The Kauaʻi men burned the house, thus ending the evil on Oʻahu.",haw-k.htm#kaua,ON-conc-k-full.htm
2561,Paʻa nō ka ʻaihue i ka ʻole.,A thief persists in denying his guilt.,A thief is also a liar.,haw-a.htm#aihue,ON-conc-a-full.htm
2562,Paʻapaʻaʻina ka malo i loko o ʻIkuwā.,The [flap of the] loincloth [flutters and] snaps in the month of ʻIkuwā.,"ʻIkuwā is a month of rains, winds, and thunderstorms.",haw-i.htm#ikuwa,ON-conc-i-full.htm
2563,Paʻapaʻakai ʻo Malama.,Crusted with salt is Malama.,"Said of a sour situation. Refers to Malama, Puna, Hawaiʻi.",haw-m.htm#malama,ON-conc-m-full.htm
2564,Pae ka waʻa i Kaʻena.,The canoe lands at Kaʻena.,Wrath. A play on ʻena (red-hot) in Kaʻena.,haw-k.htm#kaena,ON-conc-k-full.htm
2565,Pāʻele kū lani.,The chiefy blackening.,"This expression, used in chants and songs, refers to the tattooing of Kahekili, ruler of Maui. Because he was named for the god of thunder, who was believed to be black on one side of his body, Kahekili had himself tattooed on one side from head to foot.",haw-p.htm#paele,ON-conc-p-full.htm
